,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,3.577e-05,32.2402,0.025466
1,3.187e-05,31.1324,0.020009
2,2.586e-05,29.4745,0.012733
3,1.853e-05,27.805,0.005457
4,1.029e-05,26.4071,0.0
5,1.95e-06,25.3794,-0.003638
6,-4.02e-06,24.7093,-0.005457
7,-6.27e-06,24.3383,-0.007276
8,-6.85e-06,24.1868,-0.005457
9,-7.4e-06,24.1685,-0.003638
10,-8.08e-06,24.2147,-0.001819
11,-7.92e-06,24.2865,0.001819
12,-5.82e-06,24.3665,0.003638
13,-3.29e-06,24.4399,0.003638
14,-2.4e-06,24.493,0.001819
15,-2.8e-06,24.5249,0.0
16,-3.62e-06,24.5404,-0.003638
17,-4.62e-06,24.5497,-0.005457
18,-5.39e-06,24.5587,-0.009095
19,-5.65e-06,24.5639,-0.009095
20,-5.65e-06,24.5617,-0.007276
21,-5.78e-06,24.5513,-0.005457
22,-5.97e-06,24.5385,0.0
23,-5.67e-06,24.5267,0.001819
24,-4.26e-06,24.5127,0.003638
25,-2.08e-06,24.4999,0.003638
26,-1.2e-07,24.4944,0.003638
27,1.05e-06,24.4959,0.001819
28,1.08e-06,24.4983,0.001819
29,-1.9e-07,24.5008,0.0
30,-1.95e-06,24.503,-0.001819
31,-3.34e-06,24.4979,-0.001819
32,-3.97e-06,24.4875,-0.001819
33,-3.74e-06,24.4784,-0.001819
34,-3.19e-06,24.4691,-0.003638
35,-1.87e-06,24.4614,-0.003638
36,4e-07,24.4581,-0.005457
37,2.12e-06,24.4553,-0.005457
38,2.74e-06,24.4487,-0.005457
39,2.86e-06,24.4389,-0.005457
40,3.07e-06,24.4268,-0.007276
41,3.01e-06,24.411,-0.005457
42,1.57e-06,24.3957,-0.003638
43,-1.11e-06,24.3853,0.0
44,-3.37e-06,24.3769,0.003638
45,-4e-06,24.3642,0.005457
46,-3.81e-06,24.349,0.005457
47,-3.52e-06,24.3419,0.005457
48,-2.72e-06,24.3425,0.003638
49,-1.76e-06,24.3401,0.001819
50,-1.13e-06,24.3227,0.0
51,-6.4e-07,24.289,0.0
52,-3.5e-07,24.2503,-0.001819
53,-4.1e-07,24.2084,-0.001819
54,-1.12e-06,24.1603,-0.003638
55,-2.04e-06,24.11,-0.003638
56,-2e-06,24.0648,-0.003638
57,-1.41e-06,24.0272,-0.003638
58,-1.08e-06,23.9973,-0.001819
59,-9e-07,23.9765,0.0
60,-1.56e-06,23.9614,0.001819
61,-3.71e-06,23.9515,0.001819
62,-6.07e-06,23.9461,0.001819
63,-6.83e-06,23.9393,0.0
64,-5.68e-06,23.9328,0.0
65,-3.5e-06,23.9299,0.0
66,-1.35e-06,23.927,-0.001819
67,-2.1e-07,23.9224,-0.003638
68,-5.4e-07,23.9153,-0.005457
69,-1.29e-06,23.9012,-0.005457
70,-9e-07,23.8859,-0.005457
71,-1.1e-07,23.8817,-0.005457
72,3e-08,23.8837,-0.005457
73,3.6e-07,23.8796,-0.003638
74,7.4e-07,23.8637,-0.001819
75,3.3e-07,23.8422,-0.001819
76,-5.6e-07,23.8305,-0.001819
77,-9e-07,23.8328,0.0
78,-8.7e-07,23.8442,0.0
79,-1.12e-06,23.8606,-0.001819
80,-8.9e-07,23.8724,0.0
81,-2.2e-07,23.8774,0.0
82,9e-08,23.8828,-0.001819
83,-3e-08,23.8853,-0.003638
84,-1.12e-06,23.8788,-0.005457
85,-3.17e-06,23.8711,-0.005457
86,-5.43e-06,23.8709,-0.003638
87,-7.39e-06,23.8723,-0.001819
88,-8.53e-06,23.872,-0.001819
89,-9.43e-06,23.8776,-0.001819
90,-1.016e-05,23.8878,-0.003638
91,-9.8e-06,23.8963,-0.003638
92,-8.6e-06,23.9049,-0.003638
93,-7.7e-06,23.9144,-0.001819
94,-7.42e-06,23.918,0.0
95,-7.2e-06,23.9134,0.001819
96,-7.12e-06,23.91,0.003638
97,-7.27e-06,23.917,0.005457
98,-7.47e-06,23.9328,0.005457
99,-7.78e-06,23.9481,0.003638
100,-7.68e-06,23.9584,0.003638
101,-6.87e-06,23.9622,0.001819
102,-5.93e-06,23.9599,0.0
103,-4.98e-06,23.9593,0.0
104,-3.45e-06,23.969,-0.003638
105,-1.56e-06,23.9916,-0.005457
106,-3.5e-07,24.0263,-0.005457
107,-5.3e-07,24.0681,-0.003638
108,-1.87e-06,24.109,0.0
109,-3.59e-06,24.1403,0.0
110,-5.11e-06,24.1591,0.0
111,-5.86e-06,24.1685,-0.001819
112,-6.38e-06,24.1716,-0.001819
113,-7.36e-06,24.1756,-0.003638
114,-7.74e-06,24.1863,-0.005457
115,-6.75e-06,24.1987,-0.003638
116,-5.14e-06,24.2055,-0.001819
117,-4.36e-06,24.2058,0.0
118,-5.17e-06,24.2026,0.0
119,-6.05e-06,24.1982,0.0
120,-5.51e-06,24.1962,0.0
121,-4.31e-06,24.1983,0.0
122,-2.81e-06,24.2043,-0.001819
123,-8e-07,24.2159,0.0
124,8.9e-07,24.2354,0.0
125,1.3e-06,24.2648,0.0
126,8e-08,24.2967,0.0
127,-2.07e-06,24.3178,0.0
128,-4e-06,24.3252,0.0
129,-5.25e-06,24.3291,0.0
130,-6.13e-06,24.335,0.0
131,-6.35e-06,24.341,-0.001819
132,-6.19e-06,24.3461,-0.001819
133,-7.06e-06,24.3498,-0.005457
134,-8.47e-06,24.3567,-0.009095
135,-8.51e-06,24.3666,-0.010914
136,-7.05e-06,24.3719,-0.009095
137,-5.49e-06,24.3738,-0.007276
138,-4.34e-06,24.3783,-0.003638
139,-3.81e-06,24.388,-0.001819
140,-4.34e-06,24.3988,-0.001819
141,-4.85e-06,24.4061,0.0
142,-4.93e-06,24.4103,0.0
143,-5.35e-06,24.4122,0.0
144,-5.59e-06,24.4125,0.0
145,-4.95e-06,24.4098,0.0
146,-3.93e-06,24.4059,0.001819
147,-3.21e-06,24.4068,0.001819
148,-2.44e-06,24.4122,0.001819
149,-1.09e-06,24.4193,0.001819
150,-3e-07,24.4214,0.0
151,-1.08e-06,24.4114,0.0
152,-2.74e-06,24.3944,-0.001819
153,-4.33e-06,24.3811,-0.003638
154,-5.13e-06,24.3742,-0.007276
155,-4.8e-06,24.3695,-0.007276
156,-3.76e-06,24.3622,-0.005457
157,-2.72e-06,24.3571,-0.005457
158,-2.13e-06,24.3632,-0.005457
159,-2.16e-06,24.3762,-0.003638
160,-2.72e-06,24.386,-0.003638
161,-3.14e-06,24.3878,-0.003638
162,-3.02e-06,24.3831,-0.003638
163,-3.1e-06,24.3734,-0.003638
164,-3.4e-06,24.3582,-0.001819
165,-3.01e-06,24.3405,0.0
166,-2.16e-06,24.3222,0.0
167,-1.58e-06,24.3019,0.001819
168,-9.9e-07,24.2747,0.0
169,-4.9e-07,24.237,-0.001819
170,-9.8e-07,24.1885,-0.003638
171,-2.58e-06,24.1264,-0.003638
172,-4.44e-06,24.0582,-0.003638
173,-5.47e-06,23.9937,-0.003638
174,-4.76e-06,23.9304,-0.003638
175,-3e-06,23.8738,-0.005457
176,-1.91e-06,23.8342,-0.005457
177,-1.33e-06,23.8122,-0.005457
178,-7.8e-07,23.8005,-0.003638
179,-7e-07,23.7916,-0.001819
180,-1.04e-06,23.7811,-0.001819
181,-2.01e-06,23.769,-0.001819
182,-3.24e-06,23.7628,-0.003638
183,-4.44e-06,23.7652,-0.003638
184,-6e-06,23.7716,-0.003638
185,-7.33e-06,23.7812,-0.001819
186,-7.43e-06,23.7933,-0.001819
187,-6.17e-06,23.8069,-0.001819
188,-4.26e-06,23.8215,0.0
189,-3.21e-06,23.8319,0.001819
190,-3.48e-06,23.836,0.003638
191,-4.31e-06,23.836,0.003638
192,-5.67e-06,23.8339,0.005457
193,-6.78e-06,23.8311,0.005457
194,-6.69e-06,23.8354,0.005457
195,-5.78e-06,23.8565,0.003638
196,-5.34e-06,23.8873,0.001819
197,-5.5e-06,23.918,0.0
198,-5.44e-06,23.9526,0.0
199,-5.01e-06,23.9929,-0.001819
200,-4.04e-06,24.034,-0.001819
201,-3.33e-06,24.0779,-0.003638
202,-4.21e-06,24.1273,-0.005457
203,-6.35e-06,24.1805,-0.007276
204,-8.11e-06,24.2361,-0.007276
205,-8.64e-06,24.2863,-0.005457
206,-8.3e-06,24.3231,-0.005457
207,-8.34e-06,24.3469,-0.003638
208,-8.67e-06,24.3626,-0.001819
209,-7.96e-06,24.383,0.0
210,-6.55e-06,24.4116,0.0
211,-6.09e-06,24.4349,0.0
212,-6.95e-06,24.4447,0.0
213,-8.36e-06,24.4413,0.0
214,-1.01e-05,24.4294,0.0
215,-1.147e-05,24.4149,0.0
216,-1.22e-05,24.4041,0.0
217,-1.292e-05,24.4015,0.001819
218,-1.378e-05,24.4058,0.001819
219,-1.46e-05,24.4107,0.003638
220,-1.458e-05,24.4059,0.003638
221,-1.36e-05,24.3899,0.003638
222,-1.286e-05,24.3686,0.003638
223,-1.355e-05,24.3412,0.001819
224,-1.508e-05,24.3106,0.0
225,-1.606e-05,24.2811,-0.001819
226,-1.604e-05,24.257,-0.001819
227,-1.528e-05,24.2396,0.0
228,-1.441e-05,24.2263,0.0
229,-1.377e-05,24.2195,0.001819
230,-1.324e-05,24.215,0.003638
231,-1.344e-05,24.2053,0.003638
232,-1.509e-05,24.1875,0.003638
233,-1.7e-05,24.1595,0.001819
234,-1.766e-05,24.1241,0.0
235,-1.753e-05,24.0863,-0.001819
236,-1.752e-05,24.0488,-0.005457
237,-1.757e-05,24.0153,-0.007276
238,-1.702e-05,23.9825,-0.007276
239,-1.593e-05,23.9417,-0.007276
240,-1.552e-05,23.9012,-0.005457
241,-1.603e-05,23.8766,0.0
242,-1.677e-05,23.8665,0.001819
243,-1.825e-05,23.8609,0.003638
244,-2.04e-05,23.8587,0.001819
245,-2.155e-05,23.8586,0.0
246,-2.126e-05,23.8549,-0.001819
247,-2.062e-05,23.8477,-0.003638
248,-1.957e-05,23.8422,-0.005457
249,-1.809e-05,23.8408,-0.005457
250,-1.757e-05,23.8464,-0.003638
251,-1.804e-05,23.8637,-0.003638
252,-1.861e-05,23.8842,-0.001819
253,-1.984e-05,23.8938,0.0
254,-2.173e-05,23.8891,0.0
255,-2.299e-05,23.878,0.0
256,-2.344e-05,23.8745,-0.001819
257,-2.35e-05,23.8871,-0.003638
258,-2.327e-05,23.9081,-0.005457
259,-2.264e-05,23.9278,-0.009095
260,-2.152e-05,23.9415,-0.010914
261,-2.029e-05,23.943,-0.010914
262,-1.927e-05,23.9355,-0.009095
263,-1.873e-05,23.9315,-0.007276
264,-1.886e-05,23.9321,-0.005457
265,-1.92e-05,23.9305,-0.003638
266,-1.938e-05,23.9303,-0.001819
267,-1.928e-05,23.938,0.0
268,-1.843e-05,23.9483,0.001819
269,-1.73e-05,23.9514,0.001819
270,-1.739e-05,23.9455,0.001819
271,-1.904e-05,23.9406,0.001819
272,-2.08e-05,23.9415,0.003638
273,-2.148e-05,23.9409,0.001819
274,-2.164e-05,23.9348,0.001819
275,-2.135e-05,23.9271,0.001819
276,-2.011e-05,23.9221,0.0
277,-1.873e-05,23.9239,0.0
278,-1.821e-05,23.9288,-0.001819
279,-1.856e-05,23.9321,-0.001819
280,-1.91e-05,23.9341,0.0
281,-1.959e-05,23.935,-0.001819
282,-2.004e-05,23.9398,-0.001819
283,-2.049e-05,23.9549,-0.003638
284,-2.109e-05,23.9752,-0.001819
285,-2.144e-05,23.9926,-0.001819
286,-2.065e-05,24.0033,0.0
287,-1.922e-05,24.002,0.001819
288,-1.857e-05,23.9877,0.003638
289,-1.8e-05,23.967,0.005457
290,-1.722e-05,23.9488,0.003638
291,-1.715e-05,23.937,0.003638
292,-1.694e-05,23.9305,0.001819
293,-1.64e-05,23.93,0.0
294,-1.623e-05,23.9397,0.0
295,-1.634e-05,23.9597,0.001819
296,-1.634e-05,23.9818,0.001819
297,-1.618e-05,23.9968,0.001819
298,-1.591e-05,24.0011,0.001819
299,-1.594e-05,23.9968,0.001819
300,-1.664e-05,23.9912,0.001819
301,-1.755e-05,23.9904,0.0
302,-1.858e-05,23.9899,-0.001819
303,-1.95e-05,23.9781,-0.003638
304,-1.975e-05,23.958,-0.003638
305,-1.909e-05,23.9438,-0.005457
306,-1.789e-05,23.9396,-0.003638
307,-1.599e-05,23.9367,-0.003638
308,-1.372e-05,23.9281,-0.001819
309,-1.303e-05,23.9203,-0.001819
310,-1.369e-05,23.9187,-0.001819
311,-1.439e-05,23.9161,0.0
312,-1.567e-05,23.9064,0.0
313,-1.755e-05,23.8899,0.001819
314,-1.902e-05,23.875,0.001819
315,-2.02e-05,23.8702,0.001819
316,-2.125e-05,23.8692,0.003638
317,-2.157e-05,23.868,0.001819
318,-2.137e-05,23.8737,0.001819
319,-2.155e-05,23.8842,0.003638
320,-2.227e-05,23.8955,0.005457
321,-2.217e-05,23.91,0.007276
322,-2.104e-05,23.9237,0.007276
323,-2.022e-05,23.9346,0.007276
324,-1.972e-05,23.9469,0.005457
325,-1.928e-05,23.9556,0.005457
326,-1.877e-05,23.9542,0.003638
327,-1.734e-05,23.9478,0.0
328,-1.515e-05,23.9446,-0.003638
329,-1.33e-05,23.9482,-0.003638
330,-1.308e-05,23.9548,-0.003638
331,-1.501e-05,23.9595,-0.001819
