,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,6.81e-05,27.1393,0.040018
1,5.797e-05,26.7586,0.032742
2,4.216e-05,26.1885,0.021828
3,2.581e-05,25.612,0.012733
4,1.252e-05,25.1273,0.003638
5,3.06e-06,24.7697,-0.001819
6,-2.96e-06,24.5411,-0.003638
7,-5.83e-06,24.419,-0.005457
8,-7.16e-06,24.3673,-0.005457
9,-7.98e-06,24.3557,-0.005457
10,-8.16e-06,24.3644,-0.003638
11,-8.15e-06,24.3843,-0.001819
12,-7.88e-06,24.4089,0.0
13,-7.05e-06,24.4319,0.0
14,-6.27e-06,24.4526,0.0
15,-5.34e-06,24.4709,-0.001819
16,-3.92e-06,24.4851,-0.003638
17,-2.64e-06,24.4972,-0.005457
18,-1.79e-06,24.5085,-0.005457
19,-1.61e-06,24.5174,-0.005457
20,-2.03e-06,24.5259,-0.007276
21,-2.62e-06,24.5419,-0.005457
22,-3.19e-06,24.5662,-0.005457
23,-3.84e-06,24.5884,-0.005457
24,-4.83e-06,24.6058,-0.005457
25,-6.28e-06,24.6225,-0.005457
26,-7.88e-06,24.6406,-0.003638
27,-8.81e-06,24.6634,-0.001819
28,-8.68e-06,24.6963,0.001819
29,-7.61e-06,24.736,0.001819
30,-6.08e-06,24.7749,0.001819
31,-5.03e-06,24.8207,0.001819
32,-4.98e-06,24.8807,0.0
33,-5.13e-06,24.9475,-0.001819
34,-4.82e-06,25.0137,-0.003638
35,-4.58e-06,25.0779,-0.003638
36,-4.74e-06,25.1418,-0.003638
37,-4.74e-06,25.2066,-0.003638
38,-4.33e-06,25.2657,-0.001819
39,-4.08e-06,25.3166,-0.001819
40,-4.1e-06,25.3596,0.0
41,-4.11e-06,25.3868,0.0
42,-4.31e-06,25.3992,-0.001819
43,-4.3e-06,25.4018,-0.001819
44,-3.27e-06,25.3922,0.0
45,-1.98e-06,25.3733,0.0
46,-1.43e-06,25.3503,0.0
47,-1.39e-06,25.3222,0.0
48,-1.65e-06,25.2914,0.0
49,-2.03e-06,25.2644,-0.001819
50,-2.74e-06,25.2415,-0.005457
51,-3.95e-06,25.2222,-0.007276
52,-4.98e-06,25.2033,-0.005457
53,-4.96e-06,25.181,-0.003638
54,-3.35e-06,25.1583,-0.001819
