,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,3.824e-05,27.9249,0.03638
1,3.246e-05,27.4734,0.029104
2,2.341e-05,26.8028,0.020009
3,1.356e-05,26.1278,0.010914
4,4.9e-06,25.5548,0.003638
5,-1.49e-06,25.1266,-0.001819
6,-5.24e-06,24.8433,-0.003638
7,-6.52e-06,24.686,-0.003638
8,-5.79e-06,24.6241,-0.003638
9,-3.85e-06,24.6168,-0.003638
10,-1.67e-06,24.6341,-0.003638
11,6.2e-07,24.6637,-0.003638
12,2.46e-06,24.6969,-0.003638
13,3.22e-06,24.7289,-0.005457
14,3.38e-06,24.7572,-0.005457
15,2.9e-06,24.7766,-0.005457
16,1.44e-06,24.7905,-0.005457
17,-2.2e-07,24.8062,-0.005457
18,-1.61e-06,24.8179,-0.005457
19,-3.03e-06,24.8234,-0.003638
20,-4.07e-06,24.8271,-0.003638
21,-4.42e-06,24.8246,-0.003638
22,-4.56e-06,24.8147,-0.003638
23,-4.9e-06,24.8027,-0.001819
24,-5.14e-06,24.7916,0.001819
25,-4.86e-06,24.7828,0.003638
26,-4.47e-06,24.7811,0.005457
27,-4.04e-06,24.7927,0.005457
28,-3.11e-06,24.8091,0.005457
29,-1.81e-06,24.8162,0.003638
30,-1.02e-06,24.8127,0.003638
31,-1.06e-06,24.8065,0.0
32,-1.17e-06,24.8001,-0.001819
33,-1.61e-06,24.7901,-0.003638
34,-2.97e-06,24.7775,-0.007276
35,-4.64e-06,24.761,-0.009095
36,-6.03e-06,24.7383,-0.009095
37,-7.11e-06,24.7184,-0.009095
38,-7.19e-06,24.7079,-0.007276
39,-6.03e-06,24.7018,-0.005457
40,-4.57e-06,24.6991,-0.003638
41,-2.99e-06,24.703,-0.003638
42,-1.55e-06,24.7097,-0.001819
43,-8.2e-07,24.7145,-0.001819
44,-4e-07,24.7196,-0.001819
45,-4.6e-07,24.7241,0.0
46,-1.12e-06,24.7206,0.001819
47,-1.48e-06,24.7067,0.003638
48,-1.51e-06,24.6897,0.001819
49,-2.07e-06,24.6762,0.0
50,-2.44e-06,24.6669,0.0
51,-1.18e-06,24.6568,0.0
52,6.8e-07,24.6411,0.0
53,1.36e-06,24.6226,0.0
54,6.1e-07,24.6033,0.0
55,-1.38e-06,24.5845,0.0
56,-4.01e-06,24.5714,-0.001819
57,-5.52e-06,24.5657,-0.001819
58,-5.18e-06,24.5626,0.0
59,-4.25e-06,24.5613,0.0
60,-3.41e-06,24.5657,0.001819
61,-1.72e-06,24.5655,0.001819
62,1.6e-07,24.5491,0.003638
63,3.2e-07,24.5247,0.005457
64,-1.1e-06,24.5002,0.005457
65,-2.85e-06,24.4775,0.007276
66,-4.3e-06,24.457,0.005457
67,-5.93e-06,24.4387,0.007276
68,-7.72e-06,24.4245,0.007276
69,-8.31e-06,24.4102,0.003638
70,-7.45e-06,24.3892,0.0
71,-5.97e-06,24.3636,-0.001819
72,-4.62e-06,24.3374,-0.001819
73,-3.65e-06,24.3084,0.001819
74,-2.63e-06,24.2782,0.003638
75,-1.77e-06,24.2501,0.003638
76,-1.25e-06,24.2209,0.003638
77,-6.1e-07,24.1891,0.001819
78,-1.3e-07,24.1566,0.0
79,-1.4e-07,24.1268,-0.003638
80,-1.2e-07,24.1033,-0.005457
81,-5.6e-07,24.0822,-0.005457
82,-2.11e-06,24.0588,-0.005457
83,-4.01e-06,24.0358,-0.003638
84,-5.01e-06,24.0146,-0.003638
85,-4.56e-06,23.9933,-0.005457
86,-3.83e-06,23.9709,-0.003638
87,-3.43e-06,23.9471,-0.003638
88,-2.57e-06,23.9241,-0.003638
89,-1.13e-06,23.9076,-0.003638
90,5.3e-07,23.8973,-0.003638
91,2.04e-06,23.8849,-0.003638
92,2.47e-06,23.8665,-0.005457
93,1.76e-06,23.8435,-0.005457
94,1.29e-06,23.8196,-0.007276
95,1.23e-06,23.7946,-0.007276
96,1.09e-06,23.7663,-0.003638
97,7.9e-07,23.7385,-0.001819
98,5.9e-07,23.7112,0.0
99,6.9e-07,23.6816,0.001819
100,4.9e-07,23.6535,0.001819
101,4e-08,23.6331,0.003638
102,7e-08,23.6177,0.003638
103,-2.2e-07,23.5959,0.005457
104,-1.97e-06,23.5651,0.007276
105,-4.15e-06,23.5348,0.005457
106,-5.29e-06,23.5143,0.003638
107,-5.13e-06,23.4977,0.0
108,-3.81e-06,23.4744,-0.001819
109,-1.63e-06,23.4493,-0.003638
110,2.9e-07,23.4251,-0.003638
111,7.7e-07,23.3982,-0.003638
112,-1.6e-07,23.3766,-0.003638
113,-1.64e-06,23.366,-0.003638
114,-2.09e-06,23.3583,-0.001819
115,-1.01e-06,23.3488,0.0
116,4.2e-07,23.3444,0.0
117,1.42e-06,23.3458,0.0
118,1.82e-06,23.3453,0.001819
119,1.11e-06,23.3416,0.005457
120,-7.9e-07,23.3413,0.007276
121,-2.31e-06,23.3498,0.009095
