,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,0.000734333,-14.74515678,0.0
1,0.000733644,-14.80106409,-2.03872e-05
2,0.000733767,-10.13064174,0.000624568
3,0.000734502,-16.92886938,0.001370267
4,0.000726187,-22.69654241,0.001749868
5,0.000720533,-26.7513321,0.001220673
6,0.000715462,-30.10810912,0.000904613
7,0.000711977,-34.5421488,0.001186861
8,0.000708126,-36.7213854,0.000840198
9,0.00070268,-41.62908783,0.001098379
10,0.000697452,-45.0800621,0.001221553
11,0.000692768,-48.72917468,0.000257227
12,0.000687904,-52.83823995,3.69691e-05
13,0.000682312,-56.64305128,0.000608852
14,0.000676947,-60.92047542,0.000870794
15,0.000671745,-64.62545044,0.000638698
16,0.000667299,-68.87068863,0.000308923
17,0.000661838,-72.41572664,0.000237545
18,0.000656461,-75.69318831,4.35975e-05
19,0.000652588,-79.89754202,0.000238069
20,0.000646913,-83.62341691,0.00061177
21,0.000642045,-87.75471417,4.49072e-05
22,0.000637057,-91.19886005,0.000222994
23,0.000631627,-95.1195675,2.48983e-05
24,0.000627945,-98.50667624,0.000386848
25,0.000622943,-102.6006682,0.000457396
26,0.000616617,-106.109828,0.000157757
27,0.000611942,-109.8651832,0.000101849
28,0.000607329,-114.0823951,0.000145585
29,0.000602316,-117.6051242,0.000312815
30,0.000597491,-121.1574726,0.000100561
31,0.000592097,-125.093501,0.00030746
32,0.000586749,-125.0626303,0.000676235
33,0.000583029,-129.6102651,0.000225875
34,0.000575857,-133.8986953,0.000432483
35,0.000572121,-136.951076,0.000643537
36,0.000567552,-140.4478167,0.000482643
37,0.000562119,-143.9648341,-0.00025356
38,0.000557451,-147.9135492,-0.000214895
39,0.000551424,-151.2457515,0.000278153
40,0.000546516,-154.9289914,0.000209126
41,0.000543257,-158.5924901,-5.30417e-06
42,0.000537696,-162.656746,-0.000234249
43,0.00053153,-165.8645592,-0.000124644
44,0.000526627,-169.7837544,0.000449043
45,0.000521928,-173.4313771,-0.00037696
46,0.000517848,-177.0023341,-1.27839e-05
47,0.00051287,-180.343498,6.62112e-06
48,0.000508737,-184.1384593,0.000123371
49,0.000502832,-187.2625858,-7.91697e-05
50,0.000498316,-191.0703729,0.000133099
51,0.00049343,-194.7332106,0.000525542
52,0.000489136,-197.984919,-0.000246087
53,0.00048212,-201.8836414,-0.000252679
54,0.000478646,-205.6108437,0.000282256
55,0.000472172,-209.0542591,0.000172564
56,0.000468625,-212.8209231,8.81919e-05
57,0.000463595,-216.1829402,-2.58005e-05
58,0.000458619,-219.8186496,-8.75225e-05
59,0.00045313,-223.3739903,-5.65051e-05
60,0.000448474,-227.0245553,0.000192478
61,0.000444219,-230.8820406,0.000244865
62,0.000438281,-234.2183085,7.71324e-05
63,0.000433358,-237.6590278,0.00020599
64,0.000429451,-241.4800396,0.000276639
65,0.000423992,-244.6660434,0.000258668
66,0.000419067,-248.5382811,-0.000176296
67,0.000414,-251.9897983,-0.000503816
68,0.000408484,-255.4846537,-0.000161315
69,0.000402335,-259.0778334,-0.000386113
70,0.000399489,-262.9525079,8.52742e-05
71,0.000394135,-266.3662329,-5.55956e-05
72,0.000389558,-269.8722486,0.000588654
73,0.000384216,-273.439629,-0.000148168
74,0.000380024,-276.9822144,-0.000152744
75,0.000374355,-280.5353719,0.000513413
76,0.000370219,-284.2736115,0.000190943
77,0.000364221,-287.5416374,-0.000307598
78,0.000359395,-291.3940554,0.00029584
79,0.000355542,-294.7532589,-0.000171523
80,0.000350123,-298.3966662,-9.70758e-05
81,0.000344932,-302.1253346,-0.000130887
82,0.000341447,-305.4088032,-0.000148051
83,0.000334738,-309.1423714,0.000372078
84,0.000330969,-312.6572532,-0.00043898
85,0.00032587,-316.2298219,-0.000186767
86,0.000320871,-319.9829253,-8.0312e-05
87,0.000315076,-323.4655821,-0.000102555
88,0.000309944,-326.7193427,-2.34868e-05
89,0.000305223,-330.579594,-9.41509e-05
90,0.000299812,-334.1221956,-0.000457709
91,0.000296503,-337.5137487,-0.000190026
92,0.000291639,-341.2395287,0.000181783
93,0.000286154,-344.8881023,-0.000117703
94,0.000280472,-348.4703393,-2.58879e-05
95,0.000274869,-352.5784345,-0.000158725
96,0.000272226,-355.9311741,0.000159525
97,0.000265391,-359.793205,-0.000558714
98,0.000261307,-363.8535954,-0.000176806
99,0.000255835,-367.4706501,7.29342e-05
100,0.000251898,-371.1406347,-0.000238666
101,0.000246307,-375.2972968,-0.000196182
102,0.000240807,-378.7570967,-0.000465618
103,0.000237744,-382.605179,-0.000103355
104,0.000231064,-386.5648227,-7.67104e-05
105,0.000227894,-390.1569026,-0.000369291
106,0.000222337,-394.0342112,7.47314e-05
107,0.000217504,-397.6856436,-0.000431275
108,0.000211728,-401.6850582,0.000107415
109,0.000206626,-405.5497625,-0.000331231
110,0.000203569,-408.9423543,-0.000179141
111,0.00019658,-413.0598945,-0.000332162
112,0.000193187,-417.0271031,-0.000409018
113,0.000188181,-420.7884149,-0.000217551
114,0.000182671,-424.8304856,-0.000331347
115,0.000177753,-428.8185051,-0.00020989
116,0.00017335,-432.5619084,-0.000210093
117,0.000168665,-436.3181879,-0.000115731
118,0.000163086,-440.4371122,-0.000457185
119,0.000158191,-444.0182748,-0.000438355
120,0.00015209,-448.0345857,-0.000129476
121,0.000149752,-451.4107153,0.000418753
122,0.000143749,-455.1549563,-6.4465e-05
123,0.000138393,-459.0899135,0.000139502
124,0.000134503,-462.4229697,-1.46101e-05
125,0.000129174,-466.1187738,0.000200656
126,0.000125002,-469.5606513,0.000195068
127,0.000119277,-472.7051034,-9.53951e-05
128,0.00011429,-476.3971498,0.000141838
129,0.000109826,-480.1192792,-0.000505941
130,0.000104598,-484.1943472,-0.000594664
131,9.90347e-05,-487.9116915,0.00015126
132,9.55333e-05,-492.2238118,-0.000433734
133,8.93842e-05,-496.0020821,-0.00022602
134,8.56449e-05,-499.8461173,-0.000382002
135,7.93786e-05,-504.3028083,-0.000179003
136,7.61739e-05,-508.129873,-8.41537e-05
137,6.84625e-05,-512.5315378,5.11282e-05
138,6.57488e-05,-516.7728343,7.38e-05
139,6.09208e-05,-521.5037293,0.000889908
140,5.72958e-05,-525.717698,0.00120778
141,5.09746e-05,-530.0146042,0.001598601
142,4.55875e-05,-534.6013951,0.002043613
143,3.99043e-05,-538.7057698,0.001890636
144,3.57301e-05,-542.5868958,0.002430854
145,3.07012e-05,-546.5310966,0.001788874
146,2.6373e-05,-550.3478297,0.001318476
147,2.14575e-05,-554.3342484,0.002017776
148,1.5411e-05,-558.2107375,0.001840184
149,1.02686e-05,-562.1889143,0.002133194
150,5.96575e-06,-566.067034,0.00240501
151,1.28184e-06,-569.3901443,0.002235
152,-2.52086e-06,-290.5346742,0.001292552
153,-5.84541e-06,-291.145586,0.001678898
154,-5.69025e-06,-291.3240782,0.002329951
155,-5.95188e-06,-291.7879902,0.002057081
156,-7.37285e-06,-291.5570102,0.001746557
157,-6.90649e-06,-291.5594126,0.00232568
158,-6.82052e-06,-291.6569166,0.002122637
159,-7.06903e-06,-291.5055873,0.002523469
160,-7.80847e-06,-291.3913305,0.002086927
161,-7.5052e-06,-291.155302,0.002093206
162,-7.61533e-06,-291.0563465,0.002088855
163,-7.7781e-06,-290.8025642,0.001911576
164,-7.21056e-06,-290.8028675,0.001245266
165,-7.51979e-06,-290.5326426,-0.000409891
166,-7.39913e-06,-290.4580649,-0.002392488
167,-8.54064e-06,-290.2937217,-0.004395821
168,-7.2878e-06,-290.0902831,-0.006414346
169,-7.95304e-06,-289.9299428,-0.008105257
170,-7.64202e-06,-289.7632617,-0.00958141
171,-7.1676e-06,-289.3670234,-0.011778095
172,-7.27105e-06,-289.1962393,-0.013448327
173,-7.50202e-06,-288.8694326,-0.016051898
174,-6.61413e-06,-288.4224323,-0.017403792
175,-6.32812e-06,-287.8933927,-0.01988517
176,-5.00374e-06,-287.6103674,-0.021448453
177,-6.98576e-06,-286.9841575,-0.023342494
178,-5.21962e-06,-286.1991662,-0.024900779
179,-5.98173e-06,-285.675016,-0.026895388
180,-6.15914e-06,-285.4809003,-0.029221046
181,-6.31482e-06,-285.1640492,-0.030897078
182,-5.04315e-06,-285.0112482,-0.033095384
183,-5.52478e-06,-284.9029368,-0.03514687
184,-4.71811e-06,-284.741853,-0.0367744
185,-4.59876e-06,-284.6632597,-0.038463404
186,-5.46906e-06,-284.5248503,-0.040537998
187,-3.71723e-06,-284.4330135,-0.042703665
188,-4.01352e-06,-284.4097356,-0.045203204
189,-5.7778e-06,-284.1381029,-0.046851826
190,-6.0726e-06,-284.0036153,-0.048465503
191,-4.03037e-06,-283.7335636,-0.050353177
192,-4.88942e-06,-283.5424883,-0.052395113
193,-4.84041e-06,-283.3957512,-0.054391825
194,-3.89695e-06,-283.2090162,-0.056088058
195,-5.28288e-06,-283.0925205,-0.058181111
196,-4.1804e-06,-282.8068397,-0.059931892
197,-5.2723e-06,-282.6108253,-0.062400402
198,-3.10371e-06,-282.3451132,-0.063896972
199,-4.12624e-06,-282.2681572,-0.065406046
200,-4.72448e-06,-281.986056,-0.067826233
201,-2.83157e-06,-281.7782215,-0.069893773
202,-4.9658e-06,-281.5994025,-0.071878112
203,-2.70894e-06,-281.4256929,-0.073887353
204,-5.13395e-06,-281.3799333,-0.076387703
205,-3.07221e-06,-281.183916,-0.078385747
206,-3.29437e-06,-280.9353339,-0.08002052
207,-3.20664e-06,-280.8397935,-0.081455521
208,-2.68277e-06,-280.6819057,-0.083214934
209,-3.71877e-06,-280.5751714,-0.085565678
210,-2.46929e-06,-280.4954307,-0.08754649
211,-2.28356e-06,-280.4448072,-0.089551713
212,-2.31203e-06,-280.1301369,-0.091391263
213,-2.79334e-06,-280.05943,-0.093386529
214,-2.67859e-06,-280.0007246,-0.095386653
215,-2.22864e-06,-279.7881577,-0.097837076
216,-2.29468e-06,-279.8135533,-0.099584599
217,-2.76734e-06,-279.8091331,-0.101276044
218,-3.26499e-06,-279.6817219,-0.102908962
219,-2.67809e-06,-279.3789535,-0.104527659
220,-2.67015e-06,-279.3898668,-0.107060349
221,-2.4598e-06,-279.3487544,-0.108897009
222,-2.50025e-06,-279.1306222,-0.111139512
223,-2.79435e-06,-279.1407838,-0.112577502
224,-7.01027e-07,-278.9750442,-0.114358135
225,-2.67789e-06,-279.043034,-0.115943233
226,-1.28494e-06,-278.9153602,-0.118205343
227,-2.12705e-06,-278.9405976,-0.119896464
228,-6.97529e-07,-278.8703037,-0.121556159
229,-1.80275e-06,-278.733661,-0.123894237
230,-1.94825e-06,-278.6915378,-0.125825595
231,-1.50586e-06,-278.7177053,-0.127536664
232,-3.08986e-06,-278.6677721,-0.128893209
233,-2.22382e-06,-278.5336309,-0.130908529
234,-2.03928e-06,-278.6041384,-0.133362308
235,-9.19461e-07,-278.6174671,-0.134470267
236,-1.22346e-06,-278.4715187,-0.136879169
237,-1.80805e-06,-278.2878121,-0.138544905
238,-1.47894e-06,-278.2135007,-0.140400349
239,-1.89261e-06,-278.0951255,-0.142615319
240,-1.79745e-06,-278.2165812,-0.14449771
241,-2.80044e-06,-277.9829528,-0.146476741
242,-1.2374e-06,-277.9766709,-0.148395997
243,-1.25377e-06,-278.0110748,-0.150352491
244,-1.942e-06,-278.0210751,-0.152551813
245,-9.63047e-07,-277.9494105,-0.154892565
246,-1.16322e-06,-277.9371717,-0.156752845
247,-8.51904e-07,-277.9921914,-0.158881023
248,-1.29059e-06,-278.0194092,-0.160888136
249,-3.65857e-07,-277.9715396,-0.16244785
250,-9.95874e-07,-277.8729832,-0.164263434
251,-2.27334e-06,-277.9297334,-0.165889986
252,-5.17455e-07,-277.9479547,-0.167909802
253,-2.31451e-06,-277.9149533,-0.170689393
254,-6.88004e-07,-277.8781195,-0.172208845
255,-2.14235e-06,-277.9374618,-0.174345027
256,3.13358e-07,-389.344846,-0.175891728
257,-1.56542e-06,-277.8943832,-0.178395559
258,-1.87535e-06,-277.8587107,-0.180374664
259,-1.25663e-06,-277.7544662,-0.182847667
260,-8.74663e-07,-277.7302147,-0.184708297
261,-1.67113e-06,-277.6890149,-0.186891652
262,-9.81442e-07,-277.9106813,-0.188888567
263,-1.43353e-06,-277.7531873,-0.190837287
264,-2.12046e-06,-277.8313353,-0.192773063
265,-1.41672e-06,-277.765449,-0.194454966
266,3.27309e-07,-376.7985176,-0.196828623
267,-1.52788e-06,-277.744202,-0.19885553
268,-1.08055e-06,-277.722194,-0.200835479
269,-1.89977e-06,-277.6119591,-0.203314856
270,-3.74479e-07,-277.5368868,-0.204867647
271,4.57986e-08,-370.046181,-0.206411358
272,-1.09816e-06,-277.5616437,-0.208750294
273,1.17308e-08,-367.3179391,-0.210697312
274,-7.19149e-07,-277.4795054,-0.212893785
275,-1.56928e-06,-277.5189737,-0.214397092
276,-8.76602e-07,-277.5361009,-0.216699482
277,3.73702e-07,-361.7013092,-0.218696092
278,-1.50992e-06,-277.5098651,-0.220379225
279,-6.42434e-07,-277.4664068,-0.222436778
280,-5.44569e-07,-277.4983661,-0.224886346
281,-3.70351e-07,-277.4854056,-0.226910393
282,-2.30542e-07,-277.4441879,-0.22886449
283,-1.08647e-06,-277.4138587,-0.230553087
284,-1.27851e-06,-277.4077407,-0.232584222
285,-8.42864e-07,-277.5472241,-0.234878877
286,-1.31766e-07,-277.5618116,-0.236889573
287,3.93866e-07,-347.1409579,-0.238588887
288,-1.44035e-06,-277.6088088,-0.24083774
289,8.05493e-09,-343.9646194,-0.242889721
290,-5.48257e-07,-277.5488909,-0.2448948
291,-4.47965e-07,-277.506075,-0.246882024
292,-6.52108e-07,-277.3960001,-0.248890188
293,-4.25997e-08,-277.5826466,-0.251013938
294,-3.50042e-07,-277.6178427,-0.252882943
295,4.01532e-07,-334.8526311,-0.255054962
296,-7.33169e-07,-277.5151765,-0.257147702
297,-1.09005e-06,-277.4897538,-0.259659071
298,2.77212e-07,-329.9602183,-0.261337824
299,9.53845e-08,-328.4727343,-0.263387155
300,-6.24077e-07,-277.330435,-0.26502883
301,7.20238e-08,-325.3087358,-0.267253643
302,-7.24163e-08,-277.3050134,-0.269415272
303,-1.35339e-06,-277.3329473,-0.271931298
304,-6.90684e-07,-277.2845382,-0.273940452
305,-3.47415e-07,-277.4452724,-0.276351806
306,-1.48604e-07,-277.2905364,-0.277898471
307,-4.52487e-07,-277.4310621,-0.279889813
308,3.85662e-07,-314.3310872,-0.282054119
309,-8.48512e-07,-277.2519389,-0.284260394
310,-2.92067e-08,-277.2544087,-0.286424452
311,-5.1434e-07,-277.2057184,-0.288010844
312,-9.88676e-07,-277.2897173,-0.290718301
313,-5.46545e-07,-277.203259,-0.292835837
314,-8.4847e-07,-277.2299804,-0.294716323
315,1.075e-08,-303.3144699,-0.296887076
316,-1.00871e-06,-277.1962451,-0.29889233
317,-6.65039e-07,-277.1241886,-0.300421852
318,6.69284e-08,-298.461992,-0.30257411
319,1.01888e-07,-296.8129494,-0.304790148
320,-6.67641e-07,-277.1810056,-0.306445923
321,-2.28077e-06,-277.0956908,-0.308901384
322,6.0963e-08,-292.1312244,-0.311192642
323,-2.40769e-07,-277.1562464,-0.312892043
324,-3.69516e-07,-277.0469983,-0.315026431
325,1.04608e-07,-287.3185174,-0.317014979
326,-5.04982e-07,-277.0813794,-0.319249761
327,-7.29313e-07,-277.0635556,-0.320895888
328,-4.67981e-07,-277.0206424,-0.322903921
329,2.28567e-08,-281.012829,-0.324888759
330,4.34066e-07,-279.5324264,-0.326877685
331,-3.16863e-07,-277.1274884,-0.329340248
332,1.32103e-06,-276.9846714,-0.33126209
333,-1.62619e-06,-277.0779935,-0.333700729
334,-2.54878e-07,-276.9784072,-0.335393641
335,-3.82777e-07,-277.0810224,-0.337018493
336,5.7944e-07,-276.9405966,-0.339427839
337,-6.19957e-07,-277.1603945,-0.341675819
338,-6.49908e-08,-277.0097929,-0.343543426
339,-1.48232e-07,-277.1238188,-0.345736924
340,-3.21578e-07,-277.1062069,-0.34782783
341,-1.07119e-06,-277.0025603,-0.349722824
342,5.01981e-07,-276.871558,-0.351972216
343,-2.38495e-07,-277.0357707,-0.353727555
344,-1.32109e-06,-277.0954363,-0.356203927
345,5.88672e-07,-276.9895699,-0.358064535
346,-4.80854e-07,-276.9822984,-0.360388913
347,3.40362e-07,-276.9706064,-0.362398154
348,1.64184e-07,-277.1440327,-0.364746018
349,5.35668e-07,-277.0513389,-0.366323649
350,-5.19551e-07,-277.098673,-0.368499044
351,4.61175e-07,-277.071364,-0.370706919
352,4.83614e-07,-276.9762164,-0.372717033
353,-3.67079e-07,-277.0439121,-0.375076801
354,4.92163e-08,-276.9501621,-0.377385142
355,-5.15021e-07,-277.0250679,-0.379503319
356,-1.51853e-07,-277.0493866,-0.381054029
357,-9.02624e-08,-277.1496652,-0.383091181
358,-1.0207e-06,-277.1457257,-0.385121202
359,1.09832e-06,-277.0050351,-0.387272499
360,1.00393e-06,-277.1237044,-0.389000539
361,1.02995e-06,-277.0143223,-0.39189573
362,-6.09963e-08,-277.2355938,-0.393452494
363,-4.75748e-07,-277.2081247,-0.395444273
364,1.53523e-07,-277.1569009,-0.39796513
365,9.73748e-07,-277.2291569,-0.399919569
