,Time[sec],Top_Inplane_Disp[mm]
0,0.0,0.002306582
1,0.200195313,0.000330686
2,0.400390625,-0.000345367
3,0.600585938,4.6e-05
4,0.80078125,0.001619538
5,1.000976563,-0.000970148
6,1.201171875,0.002446743
7,1.401367188,-0.000865402
8,1.6015625,0.000345634
9,1.801757813,-0.00106101
10,2.001953125,-0.002532237
11,2.202148438,-0.004203635
12,2.40234375,-0.000301424
13,2.602539063,-0.003583538
14,2.802734375,0.004523643
15,3.002929688,0.00870789
16,3.203125,-0.000285911
17,3.403320313,0.022401862
18,3.603515625,0.039293875
19,3.803710938,0.061408835
20,4.00390625,0.08440813
21,4.204101563,0.104955019
22,4.404296875,0.128148415
23,4.604492188,0.14230689
24,4.8046875,0.160471885
25,5.004882813,0.185253331
26,5.205078125,0.206042067
27,5.405273438,0.225694559
28,5.60546875,0.237908112
29,5.805664063,0.264220813
30,6.005859375,0.287488278
31,6.206054688,0.30937983
32,6.40625,0.330247713
33,6.606445313,0.350032642
34,6.806640625,0.369312969
35,7.006835938,0.389642664
36,7.20703125,0.409160362
37,7.407226563,0.426262151
38,7.607421875,0.446975639
39,7.807617188,0.467414298
40,8.0078125,0.491644372
41,8.208007813,0.51464932
42,8.408203125,0.529717072
43,8.608398438,0.556805695
44,8.80859375,0.572686607
45,9.008789063,0.589978881
46,9.208984375,0.610387535
47,9.409179688,0.63075067
48,9.609375,0.653149269
49,9.809570313,0.672658149
50,10.00976563,0.68884698
51,10.20996094,0.71387866
52,10.41015625,0.732018554
53,10.61035156,0.750265259
54,10.81054688,0.769035949
55,11.01074219,0.795944943
56,11.2109375,0.815751089
57,11.41113281,0.832507794
58,11.61132813,0.849134231
59,11.81152344,0.873315032
60,12.01171875,0.895320496
61,12.21191406,0.91101462
62,12.41210938,0.927960151
63,12.61230469,0.956427422
64,12.8125,0.977037358
65,13.01269531,0.994601171
66,13.21289063,1.016583992
67,13.41308594,1.036115573
68,13.61328125,1.053932705
69,13.81347656,1.075695967
70,14.01367188,1.095679123
71,14.21386719,1.114755869
72,14.4140625,1.135457307
73,14.61425781,1.156002982
74,14.81445313,1.175929909
75,15.01464844,1.199789229
76,15.21484375,1.214495045
77,15.41503906,1.238487894
78,15.61523438,1.258060336
79,15.81542969,1.276063151
80,16.015625,1.297343639
81,16.21582031,1.316638314
82,16.41601563,1.338328235
83,16.61621094,1.359632704
84,16.81640625,1.377962646
85,17.01660156,1.398565364
86,17.21679688,1.419423614
87,17.41699219,1.436446328
88,17.6171875,1.455000136
89,17.81738281,1.478247461
90,18.01757813,1.497705234
91,18.21777344,1.519777346
92,18.41796875,1.536610769
93,18.61816406,1.560811885
