,Time[sec],Top_Inplane_Disp[mm]
0,0.0,2.863979666
1,0.0996094,2.861295361
2,0.1992187,2.861774527
3,0.2988281,2.864641836
4,0.3984375,2.832212951
5,0.4980469,2.810160629
6,0.5976562,2.790383529
7,0.6972656,2.776794136
8,0.796875,2.761773998
9,0.8964844,2.740532858
10,0.9960937,2.720144344
11,1.0957031,2.701872028
12,1.1953125,2.68290448
13,1.2949219,2.661095001
14,1.3945312,2.640172374
15,1.4941406,2.619883744
16,1.59375,2.602540655
17,1.6933594,2.581244567
18,1.7929687,2.560273511
19,1.8925781,2.545166761
20,1.9921875,2.523033414
21,2.0917969,2.504048171
22,2.1914062,2.484595869
23,2.2910156,2.463417826
24,2.390625,2.449058229
25,2.4902344,2.429549117
26,2.5898437,2.40487745
27,2.6894531,2.386643318
28,2.7890625,2.368650632
29,2.8886719,2.349098912
30,2.9882812,2.330283169
31,3.0878906,2.309246454
32,3.1875,2.288389485
33,3.2871094,2.273879945
34,3.3867187,2.245909534
35,3.4863281,2.231337829
36,3.5859375,2.21351767
37,3.6855469,2.192326589
38,3.7851562,2.174122725
39,3.8847656,2.150616841
40,3.984375,2.131473506
41,4.0839844,2.118764445
42,4.1835937,2.097073244
43,4.2832031,2.073026961
44,4.3828125,2.053903416
45,4.4824219,2.035579411
46,4.5820312,2.019667067
47,4.6816406,2.000249457
48,4.78125,1.984132221
49,4.8808594,1.961100614
50,4.9804687,1.943489304
51,5.0800781,1.92443328
52,5.1796875,1.907684957
53,5.2792969,1.880321186
54,5.3789062,1.866772538
55,5.4785156,1.841523917
56,5.578125,1.827691565
57,5.6777344,1.808074419
58,5.7773437,1.788665541
59,5.8769531,1.767259906
60,5.9765625,1.749099814
61,6.0761719,1.732503646
62,6.1757812,1.709343749
63,6.2753906,1.690146397
64,6.375,1.674907398
65,6.4746094,1.6536162
66,6.5742187,1.634409768
67,6.6738281,1.61464815
68,6.7734375,1.593135647
69,6.8730469,1.569151995
70,6.9726562,1.558050397
71,7.0722656,1.537169563
72,7.171875,1.519319601
73,7.2714844,1.498485217
74,7.3710937,1.482136897
75,7.4707031,1.460028114
76,7.5703125,1.443896093
77,7.6699219,1.420503831
78,7.7695312,1.401682151
79,7.8691406,1.386652701
80,7.96875,1.365517848
81,8.0683594,1.345275552
82,8.1679687,1.331683248
83,8.2675781,1.305514714
84,8.3671875,1.290817163
85,8.4667969,1.270929934
86,8.5664062,1.251432346
87,8.6660156,1.228831825
88,8.765625,1.208818168
89,8.8652344,1.190405688
90,8.9648437,1.169299125
91,9.0644531,1.156395534
92,9.1640625,1.137427054
93,9.2636719,1.116034109
94,9.3632812,1.093873638
95,9.4628906,1.07202027
96,9.5625,1.061710296
97,9.6621094,1.035053981
98,9.7617187,1.019128482
99,9.8613281,0.997785013
100,9.9609375,0.982432393
101,10.0605469,0.960624428
102,10.1601562,0.939173275
103,10.2597656,0.927228073
104,10.359375,0.901173975
105,10.4589844,0.888813636
106,10.5585937,0.867138733
107,10.6582031,0.848288357
108,10.7578125,0.825761643
109,10.8574219,0.80586382
110,10.9570312,0.793940795
111,11.0566406,0.76668273
112,11.15625,0.753449742
113,11.2558594,0.733927125
114,11.3554687,0.712438603
115,11.4550781,0.693257083
116,11.5546875,0.676086289
117,11.6542969,0.657813973
118,11.7539062,0.636053795
119,11.8535156,0.616961857
120,11.953125,0.593168486
121,12.0527344,0.584051479
122,12.1523437,0.560637855
123,12.2519531,0.539749512
124,12.3515625,0.52457524
125,12.4511719,0.503791962
126,12.5507812,0.487523183
127,12.6503906,0.465194695
128,12.75,0.445743004
129,12.8496094,0.428333471
130,12.9492187,0.407943968
131,13.0488281,0.386246364
132,13.1484375,0.372590846
133,13.2480469,0.348608475
134,13.3476562,0.334024808
135,13.4472656,0.309585361
136,13.546875,0.297086692
137,13.6464844,0.26701155
138,13.7460937,0.256427797
139,13.8457031,0.23759804
140,13.9453125,0.223460185
141,14.0449219,0.198806927
142,14.1445312,0.177796566
143,14.2441406,0.15563154
144,14.34375,0.13935173
145,14.4433594,0.119738419
146,14.5429687,0.102857717
147,14.6425781,0.083686893
148,14.7421875,0.060104776
149,14.8417969,0.040048824
150,14.9414062,0.023267128
151,15.0410156,0.004999314
152,15.140625,-0.009831635
153,15.2402344,-0.022797765
154,15.3398437,-0.022192648
155,15.4394531,-0.023213028
156,15.5390625,-0.028754988
157,15.6386719,-0.026936124
158,15.7382812,-0.02660081
159,15.8378906,-0.027570044
160,15.9375,-0.030453928
161,16.0371094,-0.029271172
162,16.1367187,-0.029700686
163,16.2363281,-0.030335514
164,16.3359375,-0.028122031
165,16.4355469,-0.029328023
166,16.5351562,-0.028857434
167,16.6347656,-0.033309447
168,16.734375,-0.028423248
169,16.8339844,-0.031017767
170,16.9335937,-0.029804725
171,17.0332031,-0.027954447
172,17.1328125,-0.02835793
173,17.2324219,-0.029258717
174,17.3320312,-0.025795869
175,17.4316406,-0.024680372
176,17.53125,-0.019515168
177,17.6308594,-0.027245236
178,17.7304687,-0.020357091
