,Time[sec],Top_Inplane_Disp[mm],Top_Inplane_Rotation[%rad]
0,0.0,-0.001663992,0.0
1,0.09960938,0.000189941,3.76e-05
2,0.19921875,9.13e-05,8.5e-06
3,0.29882813,-0.000737137,2.86e-05
4,0.3984375,1.66e-05,4.21e-05
5,0.49804688,-0.000408348,4.92e-05
6,0.59765625,-0.000199121,4.41e-05
7,0.69726563,0.004223629,6.21e-05
8,0.796875,0.004264405,7.52e-05
9,0.89648438,-0.002476975,8.2e-06
10,0.99609375,-0.004032399,6.78e-05
11,1.09570313,-0.001676676,1.28e-05
12,1.1953125,-0.001326945,4.61e-05
13,1.29492188,-0.002621224,3.37e-05
14,1.39453125,0.000561486,1.65e-05
15,1.49414063,0.000307592,4.25e-05
16,1.59375,0.002503064,4.1e-05
17,1.69335938,0.002364194,4.04e-05
18,1.79296875,0.000269368,4.8e-06
19,1.89257813,-0.004630735,4.27e-05
20,1.9921875,-0.000265348,7.69e-05
21,2.09179688,-0.000551774,4.16e-05
22,2.19140625,0.005820074,3.75e-05
23,2.29101563,0.001283564,4.25e-05
24,2.390625,0.005682919,4.9e-06
25,2.49023438,0.0001917,4.14e-05
26,2.58984375,0.001086084,3.04e-05
27,2.68945313,-0.000607271,4.14e-05
28,2.7890625,0.000644935,9.6e-06
29,2.88867188,0.001026027,4.2e-05
30,2.98828125,0.002983434,-8.6e-06
31,3.08789063,-0.003681283,4.17e-05
32,3.1875,-0.000769649,1.29e-05
33,3.28710938,0.001200175,3.82e-05
34,3.38671875,-0.002219215,1.97e-05
35,3.48632813,-0.002307081,5.3e-06
36,3.5859375,0.002375035,-9.7e-06
37,3.68554688,-0.000269721,4.15e-05
38,3.78515625,0.000340297,1.94e-05
39,3.88476563,-0.002277717,1.19e-05
40,3.984375,-0.000856748,8.8e-06
41,4.08398438,-0.002315068,4.13e-05
42,4.18359375,0.000965021,1.86e-05
43,4.28320313,0.002986674,8.9e-06
44,4.3828125,0.000823301,7.46e-05
45,4.48242188,0.000469807,4.12e-05
46,4.58203125,-0.002201567,1.79e-05
47,4.68164063,0.002630557,-1.17e-05
48,4.78125,0.001472493,4.16e-05
49,4.88085938,-0.002862042,1.66e-05
50,4.98046875,0.003992487,1.12e-05
51,5.08007813,-0.006282439,6.52e-05
52,5.1796875,1.84e-05,4.06e-05
53,5.27929688,9.63e-05,-2.13e-05
54,5.37890625,-0.000626674,4.16e-05
55,5.47851563,0.002732605,-4e-06
56,5.578125,0.001222263,4.17e-05
57,5.67773438,0.002755265,2.91e-05
58,5.77734375,-0.001080209,3.14e-05
59,5.87695313,0.000112881,1.67e-05
60,5.9765625,-0.004486699,4.17e-05
61,6.07617188,0.000645003,1.96e-05
62,6.17578125,-0.000779179,1.98e-05
63,6.27539063,-0.000604055,3.8e-05
64,6.375,-0.004973434,2e-05
65,6.47460938,0.00271555,4.18e-05
66,6.57421875,0.001832266,3.45e-05
67,6.67382813,-0.002500377,9e-06
68,6.7734375,-0.000304226,1.21e-05
69,6.87304688,-0.002560249,4.07e-05
70,6.97265625,0.001544741,4.87e-05
71,7.07226563,0.002147346,8.3e-06
72,7.171875,-0.003109754,4.11e-05
73,7.27148438,-0.002316993,2.02e-05
74,7.37109375,0.000756346,4.13e-05
75,7.47070313,-0.00041554,4e-05
76,7.5703125,0.001966725,4.18e-05
77,7.66992188,0.000287493,2.99e-05
78,7.76953125,-0.001552362,1.92e-05
79,7.86914063,-0.003223787,4.9e-05
80,7.96875,0.001484715,4.03e-05
81,8.06835938,-0.002140772,4.41e-05
