,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
0,-3.29e-07,35.49135142
1,-1.17e-06,35.45145378
2,-2.13e-07,35.41221458
3,2.33e-07,35.37029396
4,-3.78e-07,35.38379639
5,7.5e-07,35.34145477
6,-2.91e-07,35.296636
7,-3.96e-07,35.31419583
8,-9.45e-08,35.26682079
9,1.92e-07,35.28314006
10,-4.67e-07,35.30400319
11,-1.03e-06,35.32296059
12,-1.11e-06,35.27426855
13,-3.85e-07,35.29103342
14,5.99e-07,35.23966741
15,8.7e-08,35.19146996
16,-5.98e-08,35.21733276
17,6.28e-07,35.16026612
18,3.68e-07,35.11460889
19,-1.12e-06,35.06767408
20,-1.11e-06,35.007296
21,6.31e-07,34.9470446
22,2.82e-07,34.90009868
23,-6.27e-08,34.85097555
24,1.01e-06,34.86369988
25,7.39e-07,34.81442372
26,1.78e-07,34.76883639
27,3.87e-07,34.80304772
28,5.23e-07,34.75310832
29,7.01e-07,34.7058442
30,2.31e-07,34.655915
31,-3.4e-08,34.60936354
32,1.01e-06,34.53394348
33,4.69e-07,34.48504547
34,-5.81e-07,34.43334185
35,7.1e-07,34.35251436
36,6.78e-07,34.3022482
37,1.88e-07,34.25132949
38,-2.35e-07,34.20058262
39,1.62e-06,34.11818911
40,3.24e-07,34.06599563
41,9.4e-07,34.01712951
42,3.89e-08,34.06174119
43,2.72e-07,34.01072114
44,4.94e-08,33.95771183
45,9.19e-07,34.00680951
46,5.01e-07,33.95933259
47,-9.96e-07,33.90883467
48,9.17e-07,33.8197312
49,9.86e-08,33.77194942
50,9.14e-07,33.82655728
51,-3.66e-07,33.88502226
52,-3.68e-07,33.79035214
53,-6.53e-08,33.69509961
54,3.94e-07,33.59691074
55,5.53e-08,33.54848567
56,6.18e-07,33.61351601
57,-1.65e-07,33.67550691
58,1.52e-06,33.57309465
59,1.68e-07,33.6397015
60,1.12e-06,33.70652579
61,1.06e-06,33.65801207
62,6.32e-07,33.60822566
63,-1.02e-07,33.55916242
64,1.53e-07,33.57210256
65,1.94e-07,33.64277493
66,-5.03e-07,33.71369088
67,5.62e-07,33.60199932
68,-9.15e-08,33.67786402
69,-2.9e-07,33.56515733
70,-1.18e-06,33.45013725
71,9.66e-07,33.46074643
72,-1.46e-07,33.41204135
73,1.06e-06,33.42628155
74,2.15e-08,33.50708014
75,-1.83e-07,33.58983917
76,5.35e-07,33.47104095
77,9.38e-07,33.55328194
78,1.47e-06,33.5055938
79,3.75e-07,33.59295301
80,1.09e-06,33.68145723
81,6.22e-07,33.63376366
82,5.72e-07,33.5877445
83,-1.74e-06,33.54149927
84,4.83e-07,33.55838691
85,5.62e-07,33.51217886
86,-3.83e-07,33.46633708
87,8e-07,33.33895259
88,6.98e-07,33.43977808
89,1.39e-06,33.54045215
90,3.12e-07,33.50027019
91,7.19e-08,33.45650612
92,2.63e-07,33.41363494
93,1.1e-06,33.52132775
94,1.89e-07,33.48136202
95,1.54e-06,33.44195166
96,1.53e-06,33.550976
97,1.86e-06,33.66301765
98,2.48e-07,33.77860937
99,1.12e-06,33.89390075
100,1.01e-06,34.01244979
101,-3.51e-07,34.12989458
102,5.48e-07,33.99557096
103,5.83e-07,33.96004483
104,-5.35e-08,34.07971788
105,1.02e-06,33.94681346
106,8.75e-07,34.0716531
107,6.6e-07,34.03537894
108,1.03e-06,33.99555635
109,-2.6e-07,34.12195479
110,-2.23e-08,34.14786593
111,1.36e-06,34.17123809
112,1.42e-06,34.13434617
113,4.24e-07,34.09817763
114,4.89e-07,34.23126875
115,-1.59e-07,34.36548358
116,-9.36e-07,34.38867058
117,5.02e-07,34.23894277
118,-2.36e-07,34.20354961
119,-1.25e-06,34.05145482
120,1.02e-07,34.07695924
121,3.4e-07,34.21602127
122,2.61e-07,34.36092614
123,-2.74e-07,34.50580679
124,-2.33e-07,34.53288645
125,-1.34e-06,34.37841305
126,5.34e-07,34.40849147
127,-4.98e-08,34.37666147
128,5.56e-07,34.40441981
129,7.16e-07,34.55713994
130,-1.39e-07,34.71300245
131,1.17e-06,34.74299705
132,-5.13e-08,34.71064771
133,-4.94e-07,34.5511245
134,-1.85e-07,34.58116608
135,1.11e-06,34.61407895
136,-2.27e-07,34.77788385
137,2.98e-07,34.81171426
138,-7.78e-07,34.78247072
139,-2.64e-08,34.81323996
140,4.42e-07,34.84394429
141,1.05e-06,35.01315605
142,7.98e-07,35.1815663
143,-3.31e-07,35.35247353
144,2.37e-07,35.18386236
145,2.98e-07,35.15702807
146,1.64e-07,35.32859307
147,-5.5e-07,35.50238608
148,-3.45e-07,35.53192531
149,4.35e-07,35.35946514
150,1.7e-07,35.53400839
151,4.88e-07,35.50503046
152,-1.8e-07,35.47324491
153,5.43e-07,35.50561807
154,2.76e-07,35.47653891
155,-1.4e-07,35.65661568
156,-1.01e-07,35.47463307
157,-1.13e-06,35.29222993
158,-1.11e-06,35.32187344
159,-3.3e-07,35.1349541
160,-6.04e-08,34.94589358
161,2.4e-07,34.97344523
162,3.5e-07,35.1632647
163,-3.66e-08,35.35089299
164,7.36e-08,35.16368002
165,-8.24e-07,35.13134774
166,2.25e-07,35.16179528
167,4.66e-09,35.35520315
168,-3.74e-07,35.55001112
169,-1.34e-07,35.58346299
170,-1.05e-07,35.38904547
171,1.55e-07,35.42179244
172,8.53e-07,35.39068452
173,-8.74e-07,35.36076494
174,-2.85e-07,35.39312988
175,-9.49e-07,35.42468604
176,4.02e-07,35.22402037
177,3.06e-08,35.19846418
178,1.88e-08,35.40643254
179,-2.51e-08,35.61793161
180,-6.22e-07,35.65030125
181,-3.41e-07,35.44541417
182,-7.5e-08,35.23682425
183,-9.98e-07,35.27004816
184,5.49e-08,35.06020273
185,-2.95e-07,35.27181768
186,3.07e-07,35.06106806
187,-8.68e-07,35.03207544
188,-1.56e-06,34.81594353
189,-2.59e-07,34.6016827
190,-5.47e-07,34.38224056
191,4.21e-07,34.16303857
192,1.02e-06,34.38239473
193,-1.03e-06,34.35118258
194,-1.09e-06,34.38040763
195,-7.51e-07,34.15303431
196,-4.8e-07,34.18138513
197,8.51e-07,33.95256059
198,-3.51e-07,33.91942488
199,-8.03e-08,33.69190731
200,-7.9e-07,33.71845831
201,-4.34e-07,33.48659122
