,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
0,-1.08e-06,12.10038018
1,-2.99e-07,12.05673659
2,5.92e-07,11.90837406
3,-9.98e-07,12.11190959
4,1.66e-07,11.90988636
5,6.31e-07,11.88867912
6,2.24e-08,11.96386765
7,3.73e-07,11.90990868
8,2.24e-08,11.88226953
9,-1.05e-06,12.23474972
10,1.33e-06,11.93310556
11,8.4e-07,11.96174992
12,1.19e-06,12.01099362
13,-4.91e-07,12.27248367
14,-2.46e-07,12.24038244
15,2.81e-07,12.08086426
16,7.26e-07,12.11632634
17,7.09e-07,12.09026551
18,-1.77e-08,12.37097338
19,1.05e-06,12.1553221
20,-5.65e-07,12.40859325
21,8.44e-07,12.16903034
22,2.45e-08,12.10528378
23,1.66e-07,12.15436707
24,-1.25e-06,12.43595847
25,1.71e-07,12.18724531
26,-1.82e-07,12.52657592
27,6.5e-07,12.21712011
28,6.73e-07,12.24146114
29,6.41e-07,12.22226975
30,-3.66e-07,12.5439846
31,-2.96e-07,12.49407084
32,3.78e-07,12.27539249
33,-1.14e-06,12.55130365
34,6.23e-08,12.28244375
35,6.18e-07,12.24255425
36,-6.27e-07,12.56952017
37,-8.99e-07,12.58027948
38,-1.8e-07,12.60133266
39,8.6e-07,12.27332022
40,2.64e-07,12.33805052
41,-6.6e-07,12.65291516
42,-1.45e-06,12.68674524
43,1.11e-06,12.48392913
44,-8.35e-07,12.7367303
45,8.89e-07,12.45570011
46,4.77e-07,12.45406313
47,-1.42e-07,12.82071714
48,4.16e-08,12.5245923
49,6.92e-07,12.46807117
50,1.14e-06,12.59665034
51,-3.21e-07,12.83455149
52,-7.34e-07,12.93582233
53,1.21e-06,12.59870683
54,-3.65e-07,13.0349237
55,5.77e-07,12.69167291
56,9.37e-07,12.66793422
57,7.03e-07,12.68580754
58,1.14e-07,12.72151636
59,8.63e-07,12.78102748
60,-1.71e-07,13.072488
61,1.17e-06,12.77045041
62,2.56e-07,12.75123271
63,8.5e-07,12.76732541
64,1.4e-07,12.73416477
65,-1.09e-06,13.10459666
66,-1.11e-06,13.12928274
67,-6.28e-07,13.09617104
68,-1.04e-06,13.1410756
69,-1.17e-06,13.16147279
70,-8.17e-07,13.17011219
71,1.43e-07,12.85004829
72,-7.39e-07,13.24963859
73,3.16e-07,12.88826262
74,-3.75e-08,13.32361285
75,-3.82e-07,13.30909531
76,-9.76e-07,13.36789686
77,-5.68e-07,13.31259904
78,-1.7e-07,13.30277094
79,8.26e-09,12.96702081
80,-2.4e-07,13.35763523
81,5.26e-07,12.99208801
82,9.06e-07,12.97361309
83,-1.74e-06,13.32421708
84,-6.16e-07,13.42577835
85,4.97e-07,12.98181933
86,-3.99e-07,13.36184889
87,3.17e-07,13.07444506
88,-8.48e-07,13.48138386
89,4.11e-07,13.09363769
90,2.69e-07,13.04446799
91,9.9e-07,12.98957438
92,-1.35e-07,13.44142526
93,-9.15e-07,13.49982206
94,-3.82e-07,13.41123033
95,-3.5e-07,13.51604026
96,-1.11e-06,13.55403952
97,8.32e-07,13.1216399
98,2.39e-06,13.09898283
99,-1.05e-07,13.54834141
100,-1.77e-06,13.57458809
101,-9.36e-07,13.56410743
102,1.93e-07,13.21141901
103,6.2e-07,13.21316909
104,1.03e-07,13.20466015
105,-2.06e-07,13.6818457
106,-4.74e-07,13.69655866
107,8.93e-07,13.21594405
108,5.91e-07,13.27490351
109,4.4e-07,13.28476987
110,1.68e-07,13.25434803
111,1.42e-07,13.280822
112,-2.43e-07,13.7055125
113,-1.64e-06,13.72626095
114,1.34e-07,13.28542871
115,-8.55e-07,13.70423439
116,-4.23e-07,13.68961275
117,-1.01e-09,13.72252938
118,-3.76e-07,13.65199506
119,-4.65e-07,13.65928036
120,-8.42e-07,13.63077183
121,-5.64e-07,13.64939512
122,-4.37e-07,13.64488524
123,-1.47e-06,13.67807299
124,3.28e-07,13.08207053
125,4.18e-08,13.12054958
126,-4.31e-07,13.62994025
127,-2.59e-07,13.63284165
128,3.38e-08,13.1726158
129,4.86e-07,13.43353839
130,1.04e-06,14.11470992
131,-4.53e-08,14.90652016
132,-5.85e-07,14.84225384
133,4.77e-07,14.14887015
134,-4.21e-07,14.57591638
135,-2.56e-07,14.60166336
136,5.9e-07,14.26158906
137,-6.62e-07,14.82112844
138,-4.84e-07,14.73680628
139,-3.71e-07,14.72343745
140,-6.5e-07,14.73975821
141,-7.21e-07,14.79135905
142,-1.03e-06,14.8446256
