,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,5.92446e-07,-990.1199865,0.0
1,8.49368e-08,-990.1787704,0.000171363
2,-8.87075e-08,-946.8717206,0.000287779
3,1.18102e-08,-990.1112285,0.000281725
4,4.15978e-07,-990.2469094,-1.86265e-06
5,-2.49182e-07,-946.9397068,0.000507571
6,6.28446e-07,-990.0114963,6.98492e-06
7,-2.22278e-07,-946.7838791,0.000180677
8,8.87762e-08,-990.0639242,0.000298023
9,-2.7252e-07,-946.8016107,0.00054203
10,-6.50405e-07,-946.8201489,3.35276e-05
11,-1.0797e-06,-946.6837918,-3.35276e-05
12,-7.74207e-08,-946.7737922,0.000131782
13,-9.20432e-07,-946.8881853,0.000519678
14,1.1619e-06,-990.1060481,0.000284985
15,2.23662e-06,-990.1030514,0.000481028
16,-7.34363e-08,-946.3391032,0.000318978
17,5.75392e-06,-978.4899887,0.000323169
18,1.00926e-05,-974.5346057,0.000189058
19,1.57729e-05,-972.0644429,0.000482425
20,2.16802e-05,-969.6069516,0.00012666
21,2.69577e-05,-967.1521436,0.000120606
22,3.29149e-05,-964.758838,-8.6613e-05
23,3.65515e-05,-962.44478,-0.000346918
24,4.12172e-05,-960.0759027,-0.000371598
25,4.75823e-05,-957.8125229,-0.000494532
26,5.29219e-05,-955.4742941,-0.000369269
27,5.79697e-05,-952.9737343,-0.000103377
28,6.11067e-05,-950.6736246,0.000316184
29,6.78651e-05,-948.209208,-6.23986e-05
30,7.38414e-05,-945.9465614,-0.000496861
31,7.94642e-05,-943.6619669,-0.000733882
32,8.48241e-05,-941.3044993,-0.000115484
33,8.99059e-05,-939.0534399,-0.000259373
34,9.48581e-05,-936.793656,-0.000642613
35,0.00010008,-934.5039174,-0.000505708
36,0.000105093,-932.251409,-4.61005e-05
37,0.000109485,-929.9029179,-0.000486616
38,0.000114806,-927.714219,-0.000547618
39,0.000120055,-925.3644529,-0.000781845
40,0.000126279,-923.0797443,-0.000467524
41,0.000132188,-920.5874918,-0.000645872
42,0.000136058,-918.4385272,-0.000806525
43,0.000143016,-916.1318515,-0.00051409
44,0.000147095,-913.853863,-0.000776723
45,0.000151536,-911.4279128,-0.000667293
46,0.000156778,-909.2766744,-0.000995584
47,0.000162008,-906.9038257,-0.001424458
